127.0.0.1 - - [22/Aug/2021:15:02:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:02:17 +0900] "GET /webApp2/HW.html HTTP/1.1" 200 1962
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:02:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/index.html HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_08.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_19.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_22.jpg HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/g3.png HTTP/1.1" 200 15739
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/g1.png HTTP/1.1" 200 19173
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/g2.png HTTP/1.1" 200 13848
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_31.jpg HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /webApp2/steelhouse/css_gaon_24.jpg HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [22/Aug/2021:15:06:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
