127.0.0.1 - - [09/Aug/2021:09:48:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Aug/2021:09:48:33 +0900] "GET /webApp2/tagCss/css02_external.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [09/Aug/2021:09:48:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:03:46 +0900] "GET /webApp2/tagCss/css02_external.html HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:03:46 +0900] "GET /webApp2/tagCss/style.css HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:05:31 +0900] "GET /webApp2/tagCss/css02_external.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:05:31 +0900] "GET /webApp2/tagCss/style.css HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:08:54 +0900] "GET /webApp2/tagCss/css02_external.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:08:54 +0900] "GET /webApp2/tagCss/style.css HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:10:59 +0900] "GET /webApp2/tagCss/tag01_a.html HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:10:59 +0900] "GET /webApp2/tagCss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:10:59 +0900] "GET /webApp2/img/packman.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:19:16 +0900] "GET /webApp2/tagCss/css02_external.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:19:16 +0900] "GET /webApp2/tagCss/style.css HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:35:12 +0900] "GET /webApp2/tagCss/css02_external.html HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:35:12 +0900] "GET /webApp2/tagCss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:36:42 +0900] "GET /webApp2/tagCss/css02_external.html HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:38:00 +0900] "GET /webApp2/tagCss/css02_external.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2021:10:38:00 +0900] "GET /webApp2/tagCss/style.css HTTP/1.1" 304 -
