127.0.0.1 - - [06/Aug/2021:09:40:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:40:01 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:40:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:41:42 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:41:42 +0900] "GET /webApp2/img/pavkman.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:41:43 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:41:43 +0900] "GET /webApp2/img/pavkman.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:41:51 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:41:51 +0900] "GET /webApp2/img/packman.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:46:13 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:47:36 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:48:10 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:48:31 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:49:16 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:54:56 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:55:50 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:09:50 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:09:52 +0900] "GET /webApp2/tagCss/tag04_ul_ol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:09:58 +0900] "GET /webApp2/tagCss/tag05_table.html HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:12:15 +0900] "GET /webApp2/tagCss/tag05_table.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:12:57 +0900] "GET /webApp2/tagCss/tag05_table.html HTTP/1.1" 200 490
