127.0.0.1 - - [20/Aug/2021:09:37:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Aug/2021:09:37:39 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:09:37:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Aug/2021:09:58:01 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [20/Aug/2021:09:58:01 +0900] "GET /webApp2/img/flower3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:09:58:06 +0900] "GET /webApp2/javascript/test.jsp?userid=&username= HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [20/Aug/2021:09:58:09 +0900] "GET /webApp2/javascript/test.jsp?userid=&username= HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [20/Aug/2021:09:58:29 +0900] "GET /webApp2/javascript/test.jsp?userid=&username=&x=173&y=58 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [20/Aug/2021:09:58:30 +0900] "GET /webApp2/javascript/test.jsp?userid=&username=&x=173&y=58 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [20/Aug/2021:09:58:32 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:09:40 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 200 3556
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:14:32 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:19:30 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:19:31 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:33:32 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:33:41 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:33:45 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:34:11 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:35:50 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:35:53 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:35:58 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:36:59 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:41:26 +0900] "GET /webApp2/javascript/js17_event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:41:33 +0900] "GET /webApp2/javascript/event.html HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:49:29 +0900] "GET /webApp2/javascript/js18_noticeDiv.html HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:49:54 +0900] "GET /webApp2/javascript/js18_noticeDiv.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:49:54 +0900] "GET /webApp2/javascript/..img/flower3.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:50:04 +0900] "GET /webApp2/javascript/js18_noticeDiv.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:50:04 +0900] "GET /webApp2/javascript/..img/flower3.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [20/Aug/2021:10:50:04 +0900] "GET /webApp2/javascript/js18_noticeDiv.html HTTP/1.1" 304 -
