127.0.0.1 - - [11/Aug/2021:09:43:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:43:05 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:43:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:43:26 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:50:41 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:50:43 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:50:44 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:51:07 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:51:33 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:51:52 +0900] "GET /webApp2/tagCss/css03_background.html HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:51:52 +0900] "GET /webApp2/img/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:51:52 +0900] "GET /webApp2/img/packman.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:53:04 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:55:08 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:55:09 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:09:59:55 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:08:36 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:15:57 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:15:58 +0900] "GET /webApp2/tagCss/css04_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:38:33 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:38:34 +0900] "GET /webApp2/img/flower.jpg HTTP/1.1" 200 155901
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:38:47 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:38:59 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:39:00 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:39:01 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:39:06 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:39:07 +0900] "GET /webApp2/img/flower3.jpg HTTP/1.1" 200 155644
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:14 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:15 +0900] "GET /webApp2/img/flower3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:15 +0900] "GET /webApp2/img/flower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:15 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:27 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:27 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:28 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:28 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:28 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:28 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:43:42 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:44:16 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:44:17 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:45:05 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:45:05 +0900] "GET /webApp2/img/flower3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:45:06 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:45:06 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:45:06 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:45:28 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:46:31 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:46:32 +0900] "GET /webApp2/img/flower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:50:16 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:50:16 +0900] "GET /webApp2/img/flower3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:50:16 +0900] "GET /webApp2/img/flower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:52:00 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:56:48 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:56:48 +0900] "GET /webApp2/img/flower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:56:48 +0900] "GET /webApp2/img/flower3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:56:49 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:56:51 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:56:52 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:56:52 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:56:52 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:10:56:58 +0900] "GET /webApp2/tagCss/css05_border.html HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [11/Aug/2021:11:00:59 +0900] "GET /webApp2/tagCss/css06.html HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [11/Aug/2021:11:00:59 +0900] "GET /webApp2/img/flower3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:11:00:59 +0900] "GET /webApp2/img/flower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2021:11:02:52 +0900] "GET /webApp2/tagCss/css06.html HTTP/1.1" 200 405
