127.0.0.1 - - [10/Aug/2021:09:52:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Aug/2021:09:52:58 +0900] "GET /webApp2/tagCss/tag11_meta.html HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [10/Aug/2021:09:52:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Aug/2021:09:53:08 +0900] "GET /webApp2/tagCss/tag11_meta.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:09:53:18 +0900] "GET /webApp2/tagCss/tag11_meta.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:09:53:20 +0900] "GET /webApp2/tagCss/tag11_meta.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:09:53:30 +0900] "GET /webApp2/tagCss/tag11_meta.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:09:56:56 +0900] "GET /webApp2/tagCss/tag11_meta.html HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [10/Aug/2021:09:58:03 +0900] "GET /webApp2/tagCss/tag11_meta.html HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [10/Aug/2021:09:58:13 +0900] "GET /webApp2/tagCss/tag03_a_map.html HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [10/Aug/2021:09:58:13 +0900] "GET /webApp2/img/jeju_map.jpg HTTP/1.1" 200 355022
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:05:56 +0900] "GET /webApp2/tagCss/tag12_div.html HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:07:13 +0900] "GET /webApp2/tagCss/tag12_div.html HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:10:23 +0900] "GET /webApp2/tagCss/tag12_div.html HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:11:41 +0900] "GET /webApp2/tagCss/tag12_div.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:16:15 +0900] "GET /webApp2/tagCss/tag12_div.html HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:16:15 +0900] "GET /webApp2/img/campus.jpg HTTP/1.1" 200 158494
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:17:19 +0900] "GET /webApp2/tagCss/tag12_div.html HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:40:09 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:43:38 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:44:52 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:46:16 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:46:20 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:46:21 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:46:25 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:47:16 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:48:30 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:49:24 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:49:25 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:49:31 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:49:56 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:49:57 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:50:34 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:50:34 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:10:50:34 +0900] "GET /webApp2/tagCss/tag13_div2.html HTTP/1.1" 304 -
